accepted_texture,batch_patch_rel_dir,best_dx_px,best_dy_px,center_x,center_y,dom_depth,dom_dom_col,dom_dom_hit,dom_dom_row,dom_dom_sampling_mode,dom_dsm_height,dom_dsm_sampling_mode,dom_hit,dom_patch_rel,dom_ray_refine_iters,dom_x_raster,dom_y_raster,dom_z_ray,edge_chamfer_after,edge_chamfer_before,edge_chamfer_improvement,edge_overlap_after,edge_overlap_before,edge_overlay_after_rel,edge_overlay_before_rel,high_confidence,image_name,image_output_dir,index,label_reason,ncc_score,offset_norm_px,overlay_after_rel,overlay_before_rel,patch_label,patch_rel_dir,per_image_direction_consistency,per_image_high_confidence_patch_count,phase_dx_px,phase_dy_px,phase_response,query_dom_gradient_orientation,query_dom_hist_distance,query_dom_ncc,query_dom_ssim,query_edge_count,query_gradient,query_image,query_patch_rel,query_render_gradient_orientation,query_render_hist_distance,query_render_ncc,query_render_ssim,render_dom_gradient_orientation,render_dom_hist_distance,render_dom_ncc,render_dom_ssim,render_edge_count,render_gradient,render_patch_rel,texture_score,triplet_rel,xml_photo_id
True,images/000_0000/patches/patch_012,16.0,-42.0,1744,720,366.6748046875,3412,True,5790,bilinear,23.503881454467773,bilinear,True,patches/patch_012/dom.png,10,253861.59349872268,3364878.942195303,23.50348112105661,7.045731544494629,16.03763198852539,8.991900444030762,0.8072072072072072,0.19236016371077763,patches/patch_012/edge_overlay_after.png,patches/patch_012/edge_overlay_before.png,True,0000.jpg,images/000_0000,12,high confidence with strong query-render photometric and edge agreement,0.6065125465393066,44.94441010848846,patches/patch_012/overlay_after.png,patches/patch_012/overlay_before.png,stable_match,patches/patch_012,0.2409525385191819,19,15.553604908649106,-43.3365719562984,0.24653865140862763,0.6464996337890625,0.4138072975709732,-0.06533518433570862,-0.023838098481221537,1415,67.69721984863281,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_012/query.png,0.6813094615936279,0.39330262502408464,0.6065121293067932,0.6141851796486303,0.630014955997467,0.1479024352899243,-0.1486656665802002,-0.09790695130061233,733,55.60193634033203,patches/patch_012/render.png,62.93193634033203,patches/patch_012/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_013,-20.0,49.0,4816,1232,365.7001953125,1356,True,6537,bilinear,26.49774742126465,bilinear,True,patches/patch_013/dom.png,10,253573.73701621205,3364774.400727572,26.498217037626205,27.752410888671875,31.772216796875,4.019805908203125,0.13983050847457626,0.3017241379310345,patches/patch_013/edge_overlay_after.png,patches/patch_013/edge_overlay_before.png,False,0000.jpg,images/000_0000,13,edge chamfer improves but photometric agreement is weak,0.09629212319850922,52.92447448959697,patches/patch_013/overlay_after.png,patches/patch_013/overlay_before.png,edge_unreliable,patches/patch_013,0.2409525385191819,19,16.85367192370724,7.503668360445104,0.019083945371676236,0.6580180525779724,0.44741965500747977,0.027226274833083153,0.06786451893333066,1187,89.82959747314453,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_013/query.png,0.6602674126625061,0.476684145529873,0.09629271924495697,0.13454595722939616,0.6455283164978027,0.1251354673075932,-0.015117475762963295,0.032149989074133516,232,59.242652893066406,patches/patch_013/render.png,61.56265289306641,patches/patch_013/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_014,6.0,6.0,2768,1744,368.4326171875,2430,True,5518,bilinear,22.852041244506836,bilinear,True,patches/patch_014/dom.png,10,253724.13883401692,3364917.012977154,22.852381833746335,16.019533157348633,17.06402015686035,1.0444869995117188,1.1433566433566433,0.5977859778597786,patches/patch_014/edge_overlay_after.png,patches/patch_014/edge_overlay_before.png,True,0000.jpg,images/000_0000,14,query-DOM and render-DOM similarities are both low,0.5604293346405029,8.48528137423857,patches/patch_014/overlay_after.png,patches/patch_014/overlay_before.png,texture_mismatch,patches/patch_014,0.2409525385191819,19,5.952966461016814,5.817350800671335,0.4930273094214499,0.6336823105812073,0.38778053521437894,0.025755515322089195,0.0642276000070757,2945,110.55178833007812,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_014/query.png,0.7145580649375916,0.3837404224069947,0.5604297518730164,0.548803291738447,0.644167423248291,0.11134715873818012,0.04584767669439316,0.1014158591904789,271,58.418582916259766,patches/patch_014/render.png,61.12858291625977,patches/patch_014/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_015,26.0,69.0,4304,2768,364.8955078125,1142,True,5422,bilinear,27.783687591552734,bilinear,True,patches/patch_015/dom.png,10,253543.68951117375,3364930.5460599624,27.78367365398026,17.720386505126953,25.210411071777344,7.490024566650391,0.49146757679180886,0.28717948717948716,patches/patch_015/edge_overlay_after.png,patches/patch_015/edge_overlay_before.png,False,0000.jpg,images/000_0000,15,query-DOM and render-DOM similarities are both low,0.3937360644340515,73.7360156233031,patches/patch_015/overlay_after.png,patches/patch_015/overlay_before.png,texture_mismatch,patches/patch_015,0.2409525385191819,19,52.77596605718543,-20.85431311986858,0.025580107932910323,0.6352509260177612,0.3216865386927345,0.04320197552442551,0.07227897100286305,3145,89.40154266357422,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_015/query.png,0.6783111691474915,0.3848174944060909,0.39373621344566345,0.3958715292259777,0.6539804339408875,0.15995639225071207,0.01421805564314127,0.05680726732602064,390,55.844627380371094,patches/patch_015/render.png,59.74462738037109,patches/patch_015/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_016,32.0,-6.0,2768,720,371.4755859375,2789,True,6155,bilinear,19.283491134643555,bilinear,True,patches/patch_016/dom.png,10,253774.39597937273,3364827.8508418305,19.283104197803425,5.972492694854736,11.491477012634277,5.518984317779541,1.118,0.4911111111111111,patches/patch_016/edge_overlay_after.png,patches/patch_016/edge_overlay_before.png,True,0000.jpg,images/000_0000,16,high confidence with strong query-render photometric and edge agreement,0.7903591990470886,32.55764119219941,patches/patch_016/overlay_after.png,patches/patch_016/overlay_before.png,stable_match,patches/patch_016,0.2409525385191819,19,35.46634207295351,-10.122932359407145,0.22770082484930754,0.637030303478241,0.3753932423394219,-0.13156315684318542,-0.11086778789604498,1934,86.08979034423828,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_016/query.png,0.7054538130760193,0.3733377487957929,0.7903589010238647,0.7835531213121526,0.6377077698707581,0.17954145058441073,-0.18164676427841187,-0.15784007269048395,900,50.6961669921875,patches/patch_016/render.png,59.6961669921875,patches/patch_016/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_017,80.0,74.0,4816,2256,363.7041015625,1011,True,5908,bilinear,29.005088806152344,bilinear,True,patches/patch_017/dom.png,10,253525.34605560848,3364862.413293613,29.004539665285222,25.43053436279297,23.83730125427246,-1.5932331085205078,0.37668161434977576,0.16551724137931034,patches/patch_017/edge_overlay_after.png,patches/patch_017/edge_overlay_before.png,False,0000.jpg,images/000_0000,17,query-DOM and render-DOM similarities are both low,0.4285297691822052,108.97706180660222,patches/patch_017/overlay_after.png,patches/patch_017/overlay_before.png,texture_mismatch,patches/patch_017,0.2409525385191819,19,-53.904393380090596,-10.31308902429231,0.019554855185560882,0.6269326210021973,0.38303343325722006,-0.07157394289970398,-0.03625125541964001,2351,88.73094177246094,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_017/query.png,0.6623644828796387,0.42438823781208285,0.4285295307636261,0.4366668597520436,0.6408689618110657,0.2358889067702947,-0.12369508296251297,-0.07974034864473264,435,54.935359954833984,patches/patch_017/render.png,59.285359954833986,patches/patch_017/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_018,48.0,-32.0,2768,208,362.6259765625,2956,True,6446,bilinear,27.88914680480957,bilinear,True,patches/patch_018/dom.png,10,253797.7939348253,3364787.120024199,27.889252901475913,7.602893829345703,24.490659713745117,16.887765884399414,0.7187153931339978,0.08899876390605686,patches/patch_018/edge_overlay_after.png,patches/patch_018/edge_overlay_before.png,False,0000.jpg,images/000_0000,18,query-DOM and render-DOM similarities are both low,0.8643900752067566,57.688820407423826,patches/patch_018/overlay_after.png,patches/patch_018/overlay_before.png,texture_mismatch,patches/patch_018,0.2409525385191819,19,-11.470751796510285,59.80252686978456,-0.008353310404345393,0.6408780217170715,0.5128135894735518,-0.25809723138809204,-0.22677334986600478,1520,64.04642486572266,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_018/query.png,0.7420716881752014,0.5694932776051307,0.8643902540206909,0.8619302557410207,0.6149004101753235,0.27714553847080386,-0.27148813009262085,-0.2443679609076222,809,50.977603912353516,patches/patch_018/render.png,59.06760391235352,patches/patch_018/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_019,41.0,0.0,3280,720,365.9443359375,2471,True,6320,bilinear,25.114675521850586,bilinear,True,patches/patch_019/dom.png,10,253729.86166372636,3364804.7674360927,25.115888171988217,36.846614837646484,30.22161865234375,-6.624996185302734,0.05641025641025641,0.20463320463320464,patches/patch_019/edge_overlay_after.png,patches/patch_019/edge_overlay_before.png,False,0000.jpg,images/000_0000,19,query-DOM and render-DOM similarities are both low,0.47759518027305603,41.0,patches/patch_019/overlay_after.png,patches/patch_019/overlay_before.png,texture_mismatch,patches/patch_019,0.2409525385191819,19,40.82976004071608,-0.8478244826607408,0.3675089080352336,0.6420297622680664,0.4308111435734523,0.024753639474511147,0.0619046000994227,1235,89.18134307861328,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_019/query.png,0.6790454387664795,0.3836322726879922,0.4775945842266083,0.48516045874679725,0.627048134803772,0.1957246305575858,0.0307252649217844,0.07715573177724407,259,56.116249084472656,patches/patch_019/render.png,58.70624908447266,patches/patch_019/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_020,16.0,-12.0,2256,1232,364.6279296875,2918,True,5652,bilinear,26.107975006103516,bilinear,True,patches/patch_020/dom.png,10,253792.50115605062,3364898.2734975372,26.10705487288766,27.59264373779297,25.2530517578125,-2.3395919799804688,1.2129032258064516,0.5062611806797853,patches/patch_020/edge_overlay_after.png,patches/patch_020/edge_overlay_before.png,False,0000.jpg,images/000_0000,20,query-DOM and render-DOM similarities are both low,0.6334177255630493,20.0,patches/patch_020/overlay_after.png,patches/patch_020/overlay_before.png,texture_mismatch,patches/patch_020,0.2409525385191819,19,16.552549378156357,-11.994229780963394,0.41894778818823397,0.6350223422050476,0.31751523182796504,0.09321223944425583,0.1207624483372217,2751,93.45503997802734,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_020/query.png,0.6927028298377991,0.33370197000702384,0.6334171891212463,0.6130741620500192,0.6353321075439453,0.2104491850849971,0.09147027879953384,0.12932068823188225,559,52.65522766113281,patches/patch_020/render.png,58.245227661132816,patches/patch_020/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_021,-4.0,64.0,4816,208,368.3388671875,1704,True,7175,bilinear,23.344463348388672,bilinear,True,patches/patch_021/dom.png,10,253622.4868648681,3364684.9856974925,23.34430206752745,30.709880828857422,27.991485595703125,-2.718395233154297,0.15920398009950248,0.12371134020618557,patches/patch_021/edge_overlay_after.png,patches/patch_021/edge_overlay_before.png,False,0000.jpg,images/000_0000,21,query-DOM and render-DOM similarities are both low,0.1434202939271927,64.1248781675256,patches/patch_021/overlay_after.png,patches/patch_021/overlay_before.png,texture_mismatch,patches/patch_021,0.2409525385191819,19,33.18191622644804,-42.277129942548555,-0.007518215454183519,0.6511286497116089,0.42331238815446737,0.006824968382716179,0.03841079351509021,1528,85.57823944091797,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_021/query.png,0.6514933705329895,0.4051803369042091,0.14342045783996582,0.17366569934901685,0.6628230214118958,0.21655659451691367,0.03303796052932739,0.06926045310551071,291,50.97730255126953,patches/patch_021/render.png,53.88730255126953,patches/patch_021/triplet_query_render_dom.png,7
True,images/000_0000/patches/patch_022,3.0,35.0,3792,2256,363.7451171875,1633,True,5557,bilinear,28.379549026489258,bilinear,True,patches/patch_022/dom.png,10,253612.43845800176,3364911.638841792,28.380758572250897,26.00290870666504,29.23375129699707,3.2308425903320312,0.9605263157894737,0.13744075829383887,patches/patch_022/edge_overlay_after.png,patches/patch_022/edge_overlay_before.png,True,0000.jpg,images/000_0000,22,query-DOM and render-DOM similarities are both low,0.6260669827461243,35.12833614050059,patches/patch_022/overlay_after.png,patches/patch_022/overlay_before.png,texture_mismatch,patches/patch_022,0.2409525385191819,19,3.671104253605151,34.943374909535194,0.4805479967035353,0.6446007490158081,0.5088984143108379,0.001361498492769897,0.04795962913520661,1110,79.90206909179688,data_caiwangcun/query/images/exif_test/0000.jpg,patches/patch_022/query.png,0.7357865571975708,0.5191136938059085,0.6260665059089661,0.6291663145660764,0.6481870412826538,0.15647640050378067,0.008625992573797703,0.06561971594579807,211,49.923370361328125,patches/patch_022/render.png,52.033370361328124,patches/patch_022/triplet_query_render_dom.png,7
