image,candidate,offset_east_m,offset_north_m,offset_alt_m,yaw_offset_deg,edge_chamfer,edge_overlap_ratio,objective,passes_strict_visual_gate,selected_by_visual_objective,safe_output_worse_than_initial,valid_depth_ratio,query_edge_count,render_edge_count
0001.JPG,ez0_nz0_ym0p25,0.0,0.0,0.0,-0.25,4.070367813110352,0.711864406779661,3.3585034063306907,True,True,False,1.0,1475,1521
0001.JPG,ep1_nz0_ym0p25,1.0,0.0,0.0,-0.25,4.047819137573242,0.6237288135593221,3.42409032401392,False,False,True,1.0,1475,1487
0001.JPG,em1_nz0_ym0p25,-1.0,0.0,0.0,-0.25,3.944936752319336,0.6784260515603799,3.266510700758956,False,False,True,1.0,1475,1474
0001.JPG,ez0_np1_ym0p25,0.0,1.0,0.0,-0.25,4.173038482666016,0.6388294075660242,3.5342090750999913,False,False,True,1.0,1475,1401
0001.JPG,ez0_nm1_ym0p25,0.0,-1.0,0.0,-0.25,4.02328634262085,0.6590909090909091,3.3641954335299404,False,False,True,1.0,1475,1452
0001.JPG,ep0p5_nz0_ym0p25,0.5,0.0,0.0,-0.25,4.016461372375488,0.6716929403701165,3.3447684320053717,False,False,True,1.0,1475,1459
0001.JPG,em0p5_nz0_ym0p25,-0.5,0.0,0.0,-0.25,4.232415199279785,0.666196189131969,3.566219010147816,False,False,True,1.0,1475,1417
0001.JPG,ez0_np0p5_ym0p25,0.0,0.5,0.0,-0.25,4.255636215209961,0.6436132674664785,3.6120229477434824,False,False,True,1.0,1475,1417
0001.JPG,ez0_nm0p5_ym0p25,0.0,-0.5,0.0,-0.25,4.370673179626465,0.6396396396396397,3.731033539986825,False,False,True,1.0,1475,1443
0001.JPG,ez0_nz0_ym0p125,0.0,0.0,0.0,-0.125,4.255349636077881,0.685432793807178,3.569916842270703,False,False,True,1.0,1475,1421
0001.JPG,ez0_nz0_ym0p375,0.0,0.0,0.0,-0.375,4.787147521972656,0.6448398576512455,4.142307664321411,False,False,True,1.0,1475,1405
0001.JPG,ep0p25_nz0_ym0p25,0.25,0.0,0.0,-0.25,4.317936897277832,0.645,3.672936897277832,False,False,True,1.0,1475,1400
0001.JPG,em0p25_nz0_ym0p25,-0.25,0.0,0.0,-0.25,4.2747721672058105,0.6734550561797753,3.6013171110260354,False,False,True,1.0,1475,1424
0001.JPG,ez0_np0p25_ym0p25,0.0,0.25,0.0,-0.25,4.233741760253906,0.6812320916905444,3.5525096685633617,False,False,True,1.0,1475,1396
0001.JPG,ez0_nm0p25_ym0p25,0.0,-0.25,0.0,-0.25,4.024640083312988,0.6596610169491526,3.3649790663638357,False,False,True,1.0,1475,1505
0001.JPG,ez0_nz0_ym0p188,0.0,0.0,0.0,-0.1875,4.192839622497559,0.6842470506592644,3.508592571838294,False,False,True,1.0,1475,1441
0001.JPG,ez0_nz0_ym0p312,0.0,0.0,0.0,-0.3125,4.1950273513793945,0.6946022727272727,3.500425078652122,False,False,True,1.0,1475,1408
0002.JPG,initial,0.0,0.0,0.0,0.0,4.727849006652832,0.4724550898203593,4.255393916832473,True,False,False,1.0,1773,1670
0002.JPG,ep2_nz0_yz0,2.0,0.0,0.0,0.0,5.149011611938477,0.46354475400118555,4.685466857937291,False,False,True,1.0,1773,1687
0002.JPG,em2_nz0_yz0,-2.0,0.0,0.0,0.0,4.668569087982178,0.470479704797048,4.198089383185129,False,False,True,1.0,1773,1626
0002.JPG,ez0_np2_yz0,0.0,2.0,0.0,0.0,5.053516387939453,0.453416149068323,4.60010023887113,False,False,True,1.0,1773,1610
0002.JPG,ez0_nm2_yz0,0.0,-2.0,0.0,0.0,4.853344917297363,0.46480582524271846,4.3885390920546445,False,False,True,1.0,1773,1648
0002.JPG,ez0_nz0_yp0p5,0.0,0.0,0.0,0.5,4.937258720397949,0.43933823529411764,4.4979204851038315,False,False,True,1.0,1773,1632
0002.JPG,ez0_nz0_ym0p5,0.0,0.0,0.0,-0.5,5.166479110717773,0.44228356336260977,4.724195547355164,False,False,True,1.0,1773,1594
0002.JPG,ep1_nz0_yz0,1.0,0.0,0.0,0.0,5.112695693969727,0.4607594936708861,4.651936200298841,False,False,True,1.0,1773,1580
