image,candidate,stage,source,offset_east_m,offset_north_m,offset_alt_m,yaw_offset_deg,edge_chamfer,edge_overlap_ratio,unweighted_feature_loss,weighted_feature_loss_uniform,weighted_feature_loss_dom_edge,weighted_feature_loss_depth_gradient,weighted_feature_loss_combined,weighted_feature_loss_low_texture_downweight,passes_strict_visual_gate,selected_by_visual,selected_by_unweighted_feature,selected_by_weighted_uniform,selected_by_weighted_dom_edge,selected_by_weighted_depth_gradient,selected_by_weighted_combined,selected_by_weighted_low_texture_downweight,valid_depth_ratio,query_edge_count,render_edge_count
0003.JPG,coarse_ep1_np1,coarse_translation,local_grid,1.0,1.0,0.0,0.0,4.094266891479492,0.6756939742721734,0.23042833805084229,0.23042838275432587,0.23231808841228485,0.24146679043769836,0.2359900176525116,0.2271818369626999,False,False,False,False,False,False,False,False,1.0,1477,2095
0003.JPG,coarse_ep1_np3,coarse_translation,local_grid,1.0,3.0,0.0,0.0,4.007033348083496,0.7413676371022343,0.22973254323005676,0.22973255813121796,0.23223376274108887,0.24043969810009003,0.23534606397151947,0.22703304886817932,True,False,False,False,False,False,False,False,1.0,1477,2116
0003.JPG,coarse_ep1_np5,coarse_translation,local_grid,1.0,5.0,0.0,0.0,4.311383247375488,0.6912660798916723,0.23280088603496552,0.23280088603496552,0.2358228862285614,0.24381683766841888,0.23876738548278809,0.230857253074646,False,False,False,False,False,False,False,False,1.0,1477,2124
0003.JPG,coarse_ep3_nm5,coarse_translation,local_grid,3.0,-5.0,0.0,0.0,4.578326225280762,0.6438727149627623,0.23356950283050537,0.23356954753398895,0.23259422183036804,0.24007007479667664,0.2352619171142578,0.226674884557724,False,False,False,False,False,False,False,False,1.0,1477,2000
0003.JPG,coarse_ep3_nm3,coarse_translation,local_grid,3.0,-3.0,0.0,0.0,4.695096015930176,0.6628300609343263,0.23110900819301605,0.23110902309417725,0.23083999752998352,0.23919376730918884,0.2339153289794922,0.22542893886566162,False,False,False,False,False,False,False,False,1.0,1477,2098
0003.JPG,coarse_ep3_nm1,coarse_translation,local_grid,3.0,-1.0,0.0,0.0,4.141524314880371,0.7373053486797563,0.2283373326063156,0.2283373475074768,0.2292231172323227,0.2380443811416626,0.23270778357982635,0.224104642868042,True,False,True,True,False,True,True,True,1.0,1477,2083
0003.JPG,coarse_ep3_np0,coarse_translation,local_grid,3.0,0.0,0.0,0.0,4.513862609863281,0.6729857819905213,0.22818982601165771,0.22818982601165771,0.2293844074010849,0.2384185791015625,0.23297177255153656,0.224342942237854,False,False,False,False,False,False,False,False,1.0,1477,2060
0003.JPG,coarse_ep3_np1,coarse_translation,local_grid,3.0,1.0,0.0,0.0,4.566033363342285,0.6648612051455653,0.22925207018852234,0.22925208508968353,0.23081406950950623,0.23991833627223969,0.2344483733177185,0.22584372758865356,False,False,False,False,False,False,False,False,1.0,1477,1996
0003.JPG,coarse_ep3_np3,coarse_translation,local_grid,3.0,3.0,0.0,0.0,4.381777763366699,0.6858496953283684,0.23331813514232635,0.23331813514232635,0.23523414134979248,0.24461647868156433,0.23907820880413055,0.23065415024757385,False,False,False,False,False,False,False,False,1.0,1477,2168
0003.JPG,coarse_ep3_np5,coarse_translation,local_grid,3.0,5.0,0.0,0.0,4.5026679039001465,0.6560595802301964,0.23308789730072021,0.23308789730072021,0.23542305827140808,0.2438737154006958,0.23867681622505188,0.2308167666196823,False,False,False,False,False,False,False,False,1.0,1477,1945
0003.JPG,coarse_ep5_nm5,coarse_translation,local_grid,5.0,-5.0,0.0,0.0,4.552324295043945,0.6790792146242384,0.2353096455335617,0.2353096306324005,0.23416656255722046,0.2419200837612152,0.2369801253080368,0.22847971320152283,False,False,False,False,False,False,False,False,1.0,1477,2151
0003.JPG,coarse_ep5_nm3,coarse_translation,local_grid,5.0,-3.0,0.0,0.0,4.435731410980225,0.6594448205822614,0.23226892948150635,0.23226892948150635,0.23160982131958008,0.24042795598506927,0.23481938242912292,0.22628435492515564,False,False,False,False,False,False,False,False,1.0,1477,1969
0003.JPG,coarse_ep5_nm1,coarse_translation,local_grid,5.0,-1.0,0.0,0.0,4.348247528076172,0.6716316858496953,0.23089146614074707,0.23089146614074707,0.23129549622535706,0.24042455852031708,0.23491239547729492,0.226312518119812,False,False,False,False,False,False,False,False,1.0,1477,2003
0003.JPG,coarse_ep5_np0,coarse_translation,local_grid,5.0,0.0,0.0,0.0,4.20479154586792,0.7095463777928233,0.22838358581066132,0.22838358581066132,0.22912532091140747,0.23832730948925018,0.23283660411834717,0.22434119880199432,True,False,False,False,True,False,False,False,1.0,1477,2116
