dom_pixel_offset_col,dom_pixel_offset_row,hit,hit_depth,hit_depth_vs_projection_depth_m,hit_dom_col,hit_dom_patch_rel,hit_dom_row,hit_dsm_height,hit_dsm_minus_tiepoint_dsm_m,hit_dsm_vs_tiepoint_dsm_error_m,hit_raster_x,hit_raster_y,hit_xy_error_m,hit_z_ray,hit_z_vs_tiepoint_error_m,index,legacy_rotation_convention,measurement_x,measurement_y,offset_angle_deg,offset_east_m,offset_norm_m,offset_north_m,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,query_vs_tiepoint_dom_mad,ray_rotation_matrix_source,render_ray_convention,render_ray_rotation,reprojection_error_px,rotation_convention,tiepoint_dom_col,tiepoint_dom_patch_rel,tiepoint_dom_row,tiepoint_dom_vs_hit_dom_mad,tiepoint_dsm_height,tiepoint_dsm_minus_xml_z_m,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z,xml_projection_rotation
-11,16,True,365.0712890625,0.24481213468629903,1827,patches/0000/hit_dom_0017.png,4934,26.987768173217773,-0.36765480041503906,0.36765480041503906,253639.70566565607,3364998.774315918,2.751234226936496,26.98796151477933,0.24401566809331143,17,R_xml_transpose,3105.0,2884.0,-121.60132125682605,-1.441661995719187,2.751234226936496,-2.3432670487090945,7,3105.3216567947834,2884.2145650287616,365.3161011971863,0000.jpg,patches/0000/query_0017.png,29.718406677246094,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.38665390880967926,R_xml_transpose,1838,patches/0000/tiepoint_dom_0017.png,4918,21.39122200012207,27.355422973632812,0.6114771269467951,422,253641.1473276518,3365001.1175829666,541897.9834442264,3363637.2258669827,26.743945846686017,R_world_to_camera = R_xml
-20,-14,True,369.3017578125,0.32237300767701527,2967,patches/0000/hit_dom_0018.png,4630,21.612905502319336,0.19529342651367188,0.19529342651367188,253799.25702751952,3365041.3720331253,3.4111393159927603,21.612884921872023,0.3233788746850337,18,R_xml_transpose,1506.0,2457.0,144.73797876892405,-2.78526499675354,3.4111393159927603,1.969307068735361,7,1506.0635632961082,2455.652709569663,369.624130820177,0000.jpg,patches/0000/query_0018.png,26.366464614868164,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.3487890110355052,R_xml_transpose,2987,patches/0000/tiepoint_dom_0018.png,4644,20.859983444213867,21.417612075805664,0.12810602861867437,431,253802.04229251627,3365039.4027260565,542057.7552549933,3363679.747072514,21.28950604718699,R_world_to_camera = R_xml
-7,10,True,366.3525390625,0.36192824023601133,2077,patches/0000/hit_dom_0019.png,5077,25.409555435180664,0.4087944030761719,0.4087944030761719,253674.60644269854,3364978.8738766094,1.6783704749928527,25.40912360264042,0.36179031561164265,19,R_xml_transpose,2897.0,2536.0,-125.95945103047815,-0.9855602119641844,1.6783704749928527,-1.3585280710831285,7,2897.020153452371,2535.388864446619,366.714467302736,0000.jpg,patches/0000/query_0019.png,23.09174156188965,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.611467763866998,R_xml_transpose,2084,patches/0000/tiepoint_dom_0019.png,5067,16.604169845581055,25.000761032104492,-0.04657225492428552,439,253675.5920029105,3364980.2324046805,541932.9579978132,3363617.2672564522,25.047333287028778,R_world_to_camera = R_xml
9,-29,True,375.5615234375,0.0009144018926576791,3519,patches/0000/hit_dom_0020.png,5680,14.527555465698242,-0.04314899444580078,0.04314899444580078,253876.658265983,3364894.3147538817,4.186181299641874,14.526769142875196,0.0015577606365582142,20,R_xml_transpose,1581.0,830.0,71.607718760346,1.320828962197993,4.186181299641874,3.9723449908196926,7,1581.6599072137594,830.4148407089835,375.56060903560734,0000.jpg,patches/0000/query_0020.png,21.339181900024414,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.779467988182773,R_xml_transpose,3510,patches/0000/tiepoint_dom_0020.png,5709,12.608838081359863,14.570704460144043,0.042377556632288815,442,253875.3374370208,3364890.342408891,542134.9492576987,3363532.7291303542,14.528326903511754,R_world_to_camera = R_xml
4,28,True,368.7548828125,0.7750943522236753,1414,patches/0000/hit_dom_0021.png,5423,23.633533477783203,0.2786064147949219,0.2786064147949219,253581.8385604758,3364930.390189827,3.934600578774133,23.633828705965584,0.7723059863609478,21,R_xml_transpose,3932.0,2559.0,-80.72386078087925,0.6342294094501995,3.934600578774133,-3.883147533982992,7,3932.1804779357535,2559.8024605837722,369.5299771647237,0000.jpg,patches/0000/query_0021.png,50.661659240722656,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.8225054855755929,R_xml_transpose,1410,patches/0000/tiepoint_dom_0021.png,5395,23.524688720703125,23.35492706298828,0.493404343383645,446,253581.20433106634,3364934.273337361,541839.8517383407,3363568.8391336594,22.861522719604636,R_world_to_camera = R_xml
-9,9,True,365.8408203125,0.7242950806246995,2120,patches/0000/hit_dom_0022.png,4964,25.900083541870117,0.16246986389160156,0.16246986389160156,253680.690403132,3364994.6147241727,1.8280884293707942,25.90002194994713,0.723416547045872,22,R_xml_transpose,2765.0,2645.0,-136.20673662835355,-1.3195902818697505,1.8280884293707942,-1.265143783763051,7,2765.4333756571555,2644.589197121231,366.5651153931247,0000.jpg,patches/0000/query_0022.png,23.219799041748047,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.597137727345984,R_xml_transpose,2129,patches/0000/tiepoint_dom_0022.png,4955,15.926807403564453,25.737613677978516,0.5610082750772563,464,253682.00999341387,3364995.8798679565,541938.9571510605,3363633.0741207153,25.17660540290126,R_world_to_camera = R_xml
-4,31,True,366.2939453125,1.684970029095723,1234,patches/0000/hit_dom_0023.png,5402,26.29148292541504,-2.162485122680664,2.162485122680664,253556.630446148,3364933.3463627873,4.390593427033957,26.291309403208288,1.6793081969775585,23,R_xml_transpose,4136.0,2708.0,-96.88867733009909,-0.5266106290800963,4.390593427033957,-4.358898012898862,7,4137.244426511848,2706.8842310702657,364.6089752834043,0000.jpg,patches/0000/query_0023.png,38.00458526611328,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.671387940590517,R_xml_transpose,1238,patches/0000/tiepoint_dom_0023.png,5371,33.087074279785156,28.453968048095703,0.4833504479098565,469,253557.15705677707,3364937.7052608,541815.7298744522,3363571.631747208,27.970617600185847,R_world_to_camera = R_xml
-12,13,True,365.1826171875,0.33309185270115904,1984,patches/0000/hit_dom_0024.png,4909,26.71485137939453,-0.17980003356933594,0.17980003356933594,253661.67924396676,3365002.380876918,2.4214371525948675,26.715359989746048,0.333230185870832,24,R_xml_transpose,2894.0,2808.0,-133.29424453969347,-1.6604890096641611,2.4214371525948675,-1.762422801926732,7,2893.2903754976364,2807.498758878517,365.51570904020116,0000.jpg,patches/0000/query_0024.png,29.21186637878418,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.8687977878771554,R_xml_transpose,1996,patches/0000/tiepoint_dom_0024.png,4896,23.38471221923828,26.894651412963867,0.5125216090886511,479,253663.33973297643,3365004.14329972,541920.0806545746,3363640.8373912834,26.382129803875216,R_world_to_camera = R_xml
-18,12,True,362.5830078125,0.3824476549488054,1946,patches/0000/hit_dom_0025.png,4695,29.403825759887695,-0.4229564666748047,0.4229564666748047,253656.29313330696,3365032.2889237334,3.032454930227192,29.404322264964264,0.38116383024208744,25,R_xml_transpose,2793.0,3102.0,-147.09724517933753,-2.546030198573135,3.032454930227192,-1.6472744555212557,7,2793.097101483251,3100.779580682169,362.2005601575512,0000.jpg,patches/0000/query_0025.png,27.102798461914062,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.2242761164804128,R_xml_transpose,1964,patches/0000/tiepoint_dom_0025.png,4683,22.101255416870117,29.8267822265625,0.04129613135614818,497,253658.83916350553,3365033.936198189,541914.7939427518,3363670.4908753075,29.785486095206352,R_world_to_camera = R_xml
-12,-11,True,368.5751953125,1.3696519062184507,2806,patches/0000/hit_dom_0026.png,4842,22.46224021911621,-1.5190601348876953,1.5190601348876953,253776.82363929626,3365011.741759811,2.2377960588006593,22.462195016930934,1.371460343844035,26,R_xml_transpose,1839.0,2313.0,135.11039829346097,-1.5854067432810552,2.2377960588006593,1.5793089182116091,7,1839.796465234168,2313.602096700897,367.20554340628155,0000.jpg,patches/0000/query_0026.png,24.77523422241211,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.9984374324260196,R_xml_transpose,2818,patches/0000/tiepoint_dom_0026.png,4853,20.49766731262207,23.981300354003906,0.14764499322893698,822,253778.40904603954,3365010.162450893,542034.9125653153,3363649.900563287,23.83365536077497,R_world_to_camera = R_xml
-25,-7,True,366.1181640625,0.06858000112424634,2666,patches/0000/hit_dom_0027.png,4393,25.17064094543457,-0.2803173065185547,0.2803173065185547,253757.15450561975,3365074.5682545383,3.6436266018744736,25.170368357005657,0.06854661358437397,27,R_xml_transpose,1703.0,2957.0,164.20188374934799,-3.505995693616569,3.6436266018744736,0.9919722829945385,7,1703.9500093499569,2955.8468505486535,366.04958406137575,0000.jpg,patches/0000/query_0027.png,28.20277214050293,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.4940787871281187,R_xml_transpose,2691,patches/0000/tiepoint_dom_0027.png,4400,24.553993225097656,25.450958251953125,0.21204328136309414,884,253760.66050131337,3365073.5762822554,542015.4962386494,3363712.801303117,25.23891497059003,R_world_to_camera = R_xml
-8,-20,True,375.2373046875,0.5651424959798419,3204,patches/0000/hit_dom_0028.png,5051,15.329212188720703,-0.34992408752441406,0.34992408752441406,253832.46204068683,3364982.4835147006,3.055885497210403,15.329520037579584,0.5658027747410301,28,R_xml_transpose,1522.0,1786.0,112.79997492524282,-1.1842020277108531,3.055885497210403,2.8171087536029518,7,1522.9553518196788,1785.7883609693704,375.80244718347984,0000.jpg,patches/0000/query_0028.png,17.99178695678711,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.9785132490923911,R_xml_transpose,3212,patches/0000/tiepoint_dom_0028.png,5071,11.505939483642578,15.679136276245117,0.915419013406563,1097,253833.64624271455,3364979.666405947,542090.9201872988,3363620.8883485566,14.763717262838554,R_world_to_camera = R_xml
12,54,True,365.5498046875,4.316151256701403,580,patches/0000/hit_dom_0029.png,4958,27.833816528320312,0.306243896484375,0.306243896484375,253464.97996353032,3364995.4299787926,7.7349662861668795,27.83271689275915,4.291375553578689,29,R_xml_transpose,4556.0,3632.0,-77.34181714878588,1.6949953008443117,7.7349662861668795,-7.546965905465186,7,4557.081025549543,3631.381844180872,369.8659559442014,0000.jpg,patches/0000/query_0029.png,43.11241149902344,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.2452842468631333,R_xml_transpose,568,patches/0000/tiepoint_dom_0029.png,4904,28.144943237304688,27.527572631835938,3.986231292655475,1839,253463.28496822948,3365002.976944698,541720.1925467162,3363634.3725406746,23.541341339180462,R_world_to_camera = R_xml
-20,-34,True,363.9853515625,3.2282183166767595,3350,patches/0000/hit_dom_0030.png,4239,26.61033821105957,-2.578876495361328,2.578876495361328,253852.9545564799,3365096.170134184,5.57886578665128,26.60963873822334,3.235364922480926,30,R_xml_transpose,786.0,2664.0,120.51051863580315,-2.8323708371899556,5.57886578665128,4.806393544655293,7,787.4562650250004,2663.714159811381,360.75713324582324,0000.jpg,patches/0000/query_0030.png,29.834304809570312,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.4840527067693445,R_xml_transpose,3370,patches/0000/tiepoint_dom_0030.png,4273,23.238567352294922,29.1892147064209,-0.6557889542833664,1860,253855.7869273171,3365091.3637406393,542110.0870877731,3363733.0966007807,29.845003660704265,R_world_to_camera = R_xml
-7,3,True,365.8505859375,0.4537012367380271,2352,patches/0000/hit_dom_0031.png,5103,25.611791610717773,0.2025775909423828,0.2025775909423828,253713.1938474505,3364975.14863999,1.0201017961823882,25.611638862735163,0.4538553528172997,31,R_xml_transpose,2575.0,2312.0,-157.02123727096625,-0.9391563297249377,1.0201017961823882,-0.3982374453917146,7,2574.5764164821803,2311.8199256618514,366.304287174238,0000.jpg,patches/0000/query_0031.png,24.795124053955078,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.460271402357529,R_xml_transpose,2359,patches/0000/tiepoint_dom_0031.png,5100,13.978907585144043,25.40921401977539,0.2514305098575278,2459,253714.1330037802,3364975.5468774354,541971.5969952977,3363613.605818142,25.157783509917863,R_world_to_camera = R_xml
7,-8,True,367.0419921875,1.8215026682234452,2736,patches/0000/hit_dom_0032.png,5650,23.888690948486328,0.1658191680908203,0.1658191680908203,253766.92570934075,3364898.623840012,1.597273847141968,23.887971921051758,1.822823547730934,32,R_xml_transpose,2483.0,1369.0,51.43921664524397,0.9956519178231247,1.597273847141968,1.2489839876070619,7,2483.450780696545,1369.6553875610175,368.86349485572345,0000.jpg,patches/0000/query_0032.png,36.83438491821289,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.7954471016440454,R_xml_transpose,2729,patches/0000/tiepoint_dom_0032.png,5658,23.224966049194336,23.722871780395508,1.657723407074684,2585,253765.93005742293,3364897.3748560245,542025.4296428269,3363536.8587853876,22.065148373320824,R_world_to_camera = R_xml
-6,13,True,367.2255859375,0.4241786711377813,1969,patches/0000/hit_dom_0033.png,5094,24.645694732666016,-0.18093490600585938,0.18093490600585938,253659.6096867482,3364976.4368728995,2.0162845287129776,24.64615507667537,0.4227568727135349,33,R_xml_transpose,3040.0,2587.0,-112.64601189369684,-0.7763433213694952,2.0162845287129776,-1.860831628087908,7,3040.5998684081196,2587.8383973300024,367.6497646086378,0000.jpg,patches/0000/query_0033.png,21.790557861328125,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,1.0308987292722465,R_xml_transpose,1975,patches/0000/tiepoint_dom_0033.png,5081,15.300302505493164,24.826629638671875,0.6032314347100396,2612,253660.38603006958,3364978.2977045276,541917.8135809911,3363614.931076276,24.223398203961835,R_world_to_camera = R_xml
2,-33,True,374.5517578125,0.4891260647918898,3687,patches/0000/hit_dom_0034.png,5470,15.405769348144531,0.5645732879638672,0.5645732879638672,253900.09513597004,3364923.732760509,4.64423723744345,15.40586582699666,0.4905002655063413,34,R_xml_transpose,1245.0,969.0,86.46297743204059,0.2865191906748805,4.64423723744345,4.635390627663583,7,1245.4697100938074,969.183403154028,375.0408838772919,0000.jpg,patches/0000/query_0034.png,16.03369140625,photo.rotation.T,cam_to_world_correct,R_camera_to_world = R_xml.T,0.5042462584214156,R_xml_transpose,3685,patches/0000/tiepoint_dom_0034.png,5503,12.780942916870117,14.841196060180664,-0.0741695013096546,2813,253899.80861677937,3364919.0973698813,542158.6422105231,3363562.112850573,14.915365561490319,R_world_to_camera = R_xml
