dom_col,dom_patch_rel,dom_row,dsm_height,index,manual_label,manual_label_choices,manual_note,measurement_x,measurement_y,patch_mean_absdiff_rgb,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,reprojection_error_px,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z
1304,patches/0000/dom_0020.png,6522,24.874858856201172,20,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4748.0,1262.0,30.112512588500977,7,4749.414489238517,1261.2416427077926,367.6108682094936,0000.jpg,patches/0000/query_0020.png,1.6049565690458245,267,253566.43887330565,3364776.416354846,541829.2776356222,3363410.6981498185,24.60562481547754
5103,patches/0002/dom_0021.png,7992,25.881690979003906,21,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1132.0,390.0,79.72968292236328,17,1132.4078551209504,390.2082931297168,365.99292199690984,0002.jpg,patches/0002/query_0021.png,0.4579648759159701,274,254098.50485819508,3364570.528682591,542366.4369302959,3363219.0425643525,23.319878930004506
3402,patches/0002/dom_0022.png,6644,15.094029426574707,22,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2292.0,3118.0,26.442581176757812,17,2292.4105888956733,3118.2474566927804,377.353187915844,0002.jpg,patches/0002/query_0022.png,0.4793934251238889,284,253860.18892189054,3364759.411774914,542123.2790770374,3363401.4858067213,15.029795339465124
2760,patches/0000/dom_0023.png,3865,19.286848068237305,23,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1323.0,3508.0,28.257415771484375,7,1323.9787583991554,3506.320617270915,373.9573878958953,0000.jpg,patches/0000/query_0023.png,1.9437835153806875,300,253770.27844360305,3365148.477854644,542023.1235257793,3363787.9069308625,17.39420327060577
3266,patches/0000/dom_0024.png,5198,15.369977951049805,24,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1540.0,1597.0,16.4451847076416,7,1540.7577028207509,1596.9022601770378,375.8151896874365,0000.jpg,patches/0000/query_0024.png,0.7639807835060427,309,253841.13405262702,3364961.8049620586,542098.8760623944,3363603.237335544,14.661959538731253
2633,patches/0000/dom_0025.png,5475,25.556074142456055,25,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2481.0,1659.0,26.338762283325195,7,2479.9022405894198,1659.057870810473,365.9349547359891,0000.jpg,patches/0000/query_0025.png,1.0992837460011342,314,253752.49381154837,3364923.1247569327,542011.3204182582,3363562.235341439,25.142065016256424
4208,patches/0001/dom_0026.png,5995,25.672096252441406,26,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,898.0,2026.0,23.451496124267578,13,899.1903514415676,2025.5978662642578,368.4830805752016,0001.jpg,patches/0001/query_0026.png,1.2564426353256262,320,253973.1674324663,3364850.2231568326,542233.775808747,3363495.2283514836,22.19958573631942
1235,patches/0001/dom_0027.png,6139,29.5456485748291,27,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,4544.0,3752.0,35.304107666015625,13,4544.637146963785,3751.7572133053695,364.4719690795317,0001.jpg,patches/0001/query_0027.png,0.6818369545208629,329,253556.7564629984,3364830.0828461153,541818.1802906267,3363464.071758252,29.728345320678443
3975,patches/0000/dom_0028.png,4406,25.030067443847656,28,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,208.0,2100.0,22.40125846862793,7,209.88785118334,2099.747275807374,364.82394002445886,0000.jpg,patches/0000/query_0028.png,1.904691998191997,369,253940.4165955781,3365072.814018863,542195.1509031913,3363716.801247388,25.104887790484952
2679,patches/0002/dom_0029.png,7736,30.485021591186523,29,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3918.0,2294.0,29.81846046447754,17,3919.165732963159,2294.199353186385,362.8382403222783,0002.jpg,patches/0002/query_0029.png,1.1826559238921177,381,253758.96254865205,3364606.4770693616,542026.171988903,3363245.9734289823,29.38673892241718
