dom_col,dom_patch_rel,dom_row,dsm_height,index,manual_label,manual_label_choices,manual_note,measurement_x,measurement_y,patch_mean_absdiff_rgb,photo_id,projected_x,projected_y,projection_depth,query_image,query_patch_rel,reprojection_error_px,tiepoint_index,tiepoint_raster_x,tiepoint_raster_y,tiepoint_xml_x,tiepoint_xml_y,tiepoint_xml_z
1449,patches/0000/dom_0038.png,4882,25.41411590576172,38,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3554.0,3169.0,33.2380256652832,7,3554.172128079094,3168.0191248300507,367.04140185207496,0000.jpg,patches/0000/query_0038.png,0.995863532134599,3508,253586.7398073944,3365006.0554524376,541843.4820262318,3363640.719175982,25.43868830604424
4056,patches/0000/dom_0039.png,4980,20.344839096069336,39,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,483.0,1364.0,44.07796096801758,7,483.9812249067518,1364.3866819111108,369.9285723660145,0000.jpg,patches/0000/query_0039.png,1.0546682976226955,3761,253951.76886857513,3364992.3609478213,542208.6266623612,3363636.7032707874,19.768228529150917
2396,patches/0000/dom_0040.png,5579,25.140897750854492,40,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2847.0,1686.0,29.402299880981445,7,2847.1639633065092,1685.5492088186231,366.24706675297386,0000.jpg,patches/0000/query_0040.png,0.47968391164244345,3764,253719.33565423122,3364908.457504805,541978.573236342,3363546.6997115174,25.053869382451637
2473,patches/0000/dom_0041.png,5234,25.462127685546875,41,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2520.0,2067.0,25.768564224243164,7,2519.6871473342144,2068.137001969036,366.1818051331339,0000.jpg,patches/0000/query_0041.png,1.1792583551034697,3793,253730.15955232963,3364956.8547217413,541988.107821721,3363595.350852525,25.125223268060324
1689,patches/0000/dom_0042.png,5342,24.10964584350586,42,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3565.0,2449.0,19.07998275756836,7,3565.144507359215,2448.963460466176,368.3354207677343,0000.jpg,patches/0000/query_0042.png,0.14905540714560792,3871,253620.26888113006,3364941.740693346,541878.6919886336,3363577.336194341,23.774484406568774
1967,patches/0000/dom_0043.png,5266,25.765859603881836,43,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3177.0,2365.0,26.81451416015625,7,3176.8972056457974,2365.745792644139,364.9754110844791,0000.jpg,patches/0000/query_0043.png,0.7528435078471389,4092,253659.3158804886,3364952.4027549247,541917.4300864335,3363589.0253344043,26.85889839119278
2456,patches/0000/dom_0044.png,5678,24.695354461669922,44,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2837.0,1523.0,27.755563735961914,7,2837.315562556464,1522.6307551505656,366.871838670586,0000.jpg,patches/0000/query_0044.png,0.4857174959541582,4132,253727.72047780087,3364894.621252113,541987.3188809964,3363533.0949336546,24.34059465117167
1926,patches/0000/dom_0045.png,5608,27.17037010192871,45,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3456.0,1963.0,26.82186508178711,7,3456.5189964129754,1963.3215530085545,364.73993663800087,0000.jpg,patches/0000/query_0045.png,0.6105355141118146,4278,253653.51525215685,3364904.4952571047,541912.9023964169,3363540.996664174,27.051220701736554
2824,patches/0000/dom_0046.png,6235,19.301856994628906,46,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2743.0,617.0,39.713680267333984,7,2742.7318544911445,617.086179829326,372.38664234828576,0000.jpg,patches/0000/query_0046.png,0.28165400210546687,4360,253779.3484585726,3364816.675702305,542040.9765325476,3363456.569702254,18.293963266779258
2408,patches/0000/dom_0047.png,6155,31.283552169799805,47,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3221.0,948.0,32.80337905883789,7,3220.60250122413,947.4946532645824,360.2314802749152,0000.jpg,patches/0000/query_0047.png,0.6429468094760917,4373,253720.98993842647,3364827.816261145,541982.3624455095,3363466.156919486,30.910707004869437
3279,patches/0000/dom_0048.png,5836,25.24944496154785,48,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1918.0,786.0,39.70793151855469,7,1917.3135430548584,786.3533539969458,364.8545901521697,0000.jpg,patches/0000/query_0048.png,0.7720635885020422,4374,253843.00240885798,3364872.4589966326,542103.109806483,3363514.001313636,25.446535410040326
2094,patches/0000/dom_0049.png,6544,26.179523468017578,49,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,3848.0,698.0,34.98573684692383,7,3849.165012841826,696.54952681028,363.82072701704385,0000.jpg,patches/0000/query_0049.png,1.8604105449378483,4876,253677.0602082893,3364773.33280899,541939.905627779,3363410.546785423,27.554373931954274
3699,patches/0000/dom_0050.png,4704,18.089365005493164,50,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,711.0,1919.0,23.58718490600586,7,711.3779104415632,1918.2097545770343,370.4612674476058,0000.jpg,patches/0000/query_0050.png,0.8759589775558512,5074,253901.8063585946,3365031.0831467086,542157.6722043453,3363674.07581914,19.68337150727251
3913,patches/0000/dom_0051.png,5016,17.524826049804688,51,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,670.0,1412.0,36.07209014892578,7,671.5913604492068,1411.0890820696036,372.36981264281144,0000.jpg,patches/0000/query_0051.png,1.8336301576974143,5084,253931.8137434194,3364987.407716992,542188.8162323828,3363631.2247933596,17.46871096522665
3434,patches/0000/dom_0052.png,6182,14.684133529663086,52,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1977.0,320.0,11.975902557373047,7,1978.3176628682027,319.41308490503843,375.27580799609973,0000.jpg,patches/0000/query_0052.png,1.442464822078448,5508,253864.72162733384,3364824.120596498,542126.0947257983,3363466.270917224,14.773107736125269
3315,patches/0000/dom_0053.png,4835,15.308836936950684,53,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,1251.0,2006.0,27.120685577392578,7,1251.807706441127,2005.8435815991509,375.3113766444072,0000.jpg,patches/0000/query_0053.png,0.8227128363908676,5796,253848.07612722734,3365012.7618462835,542104.4636364976,3363654.3436309337,15.205859115702992
2386,patches/0000/dom_0054.png,5358,21.950178146362305,54,unlabeled,unlabeled|same_object|similar_but_texture_changed|geometry_or_scale_mismatch|not_same_object|uncertain,,2713.0,1970.0,31.044008255004883,7,2712.0258195030447,1970.2957631381657,369.41720790747485,0000.jpg,patches/0000/query_0054.png,1.0180881467465388,6115,253717.8767304858,3364939.4611514974,541976.2940562747,3363577.643708341,21.950953926625857
