image,candidate,rotation_convention,axis_transform_key,axis_transform,principal_point_mode,distortion_enabled,sampling_mode,ray_step_m,render_scale,edge_chamfer,edge_overlap_ratio,valid_depth_ratio,query_edge_count,render_edge_count,edge_overlap_count,render_time_sec
0000.jpg,screen_034_R_xml_ppm_xml_dist_nearest_step1p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,True,nearest,1.0,0.25,inf,0.0,0.0,21217,0,0,8.228939936001552
0000.jpg,screen_035_R_xml_ppm_xml_dist_bilinear_step1p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",xml,True,bilinear,1.0,0.25,inf,0.0,0.0,21217,0,0,22.937689164002222
0000.jpg,screen_036_R_xml_ppm_flip_y_nodist_nearest_step10p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,False,nearest,10.0,0.25,inf,0.0,0.0,21217,0,0,1.453748228999757
0000.jpg,screen_037_R_xml_ppm_flip_y_nodist_bilinear_step10p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,False,bilinear,10.0,0.25,inf,0.0,0.0,21217,0,0,3.093687401000352
0000.jpg,screen_038_R_xml_ppm_flip_y_nodist_nearest_step2p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,False,nearest,2.0,0.25,inf,0.0,0.0,21217,0,0,5.85452048300067
0000.jpg,screen_039_R_xml_ppm_flip_y_nodist_bilinear_step2p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,False,bilinear,2.0,0.25,inf,0.0,0.0,21217,0,0,11.248673399000836
0000.jpg,screen_040_R_xml_ppm_flip_y_nodist_nearest_step1p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,False,nearest,1.0,0.25,inf,0.0,0.0,21217,0,0,8.44855829199878
0000.jpg,screen_041_R_xml_ppm_flip_y_nodist_bilinear_step1p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,False,bilinear,1.0,0.25,inf,0.0,0.0,21217,0,0,22.100697727000806
0000.jpg,screen_042_R_xml_ppm_flip_y_dist_nearest_step10p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,True,nearest,10.0,0.25,inf,0.0,0.0,21217,0,0,1.075539707999269
0000.jpg,screen_043_R_xml_ppm_flip_y_dist_bilinear_step10p0_scale0p25,R_xml,ppm,"[1.0, 1.0, -1.0]",flip_y,True,bilinear,10.0,0.25,inf,0.0,0.0,21217,0,0,2.607953777001967
